code_geo;nom_geo;edition;a1_val;a1_mil;a1_ind;a2_val;a2_mil;a2_ind;a3_val;a3_mil;a3_ind;indice_a;categorie_a;b1_val;b1_mil;b1_ind;b2_val;b2_mil;b2_ind;b3_val;b3_mil;b3_ind;indice_b;categorie_b;c1_val;c1_mil;c1_ind;c2_val;c2_mil;c2_ind;c3_val;c3_mil;c3_ind;indice_c;categorie_c;d1_val;d1_mil;d1_ind;d2_val;d2_mil;d2_ind;d3_val;d3_mil;d3_ind;indice_d;categorie_d
200027027;Communauté de communes Arc Sud Bretagne;2017;-0,54;01/2/17;0,58;65 %;01/1/13;0,37;84 %;01/1/13;0,6;0,52;B;0,89;01/1/15;0,89;0,58;01/1/15;0,56;3,14 %;01/1/13;0,38;0,61;B;13 %;01/1/13;0,65;11,68;01/1/14;0,22;47 %;01/1/13;0,47;0,45;B;7 %;01/1/15;0,1;61,1;01/01/10;0,61;22 %;01/1/10;0,22;0,31;B
200038990;Communauté de communes de Saint-Méen Montauban;2017;0,57;01/2/17;0,5;71 %;01/1/13;0,79;85 %;01/1/13;0,68;0,66;A;0,78;01/1/15;0,78;0,57;01/1/15;0,61;8,45 %;01/1/13;0,6;0,66;A;12 %;01/1/13;0,72;11,53;01/1/14;0,17;23 %;01/1/13;0,23;0,38;C;7 %;01/1/15;0,09;73,9;01/01/10;0,87;0 %;01/1/10;0;0,32;B
200039022;Vitré Communauté;2017;3,94;01/2/17;0,25;74 %;01/1/13;0,95;86 %;01/1/13;0,71;0,63;A;0,72;01/1/15;0,72;0,54;01/1/15;0,8;3,99 %;01/1/13;0,41;0,64;A;12 %;01/1/13;0,76;11,9;01/1/14;0,29;60 %;01/1/13;0,6;0,55;B;9 %;01/1/15;0,13;75,1;01/01/10;0,89;1 %;01/1/10;0,01;0,34;B
200042174;Lorient Agglomération;2017;-2,29;01/2/17;0,71;61 %;01/1/13;0,14;82 %;01/1/13;0,37;0,41;C;0,4;01/1/15;0,4;0,54;01/1/15;0,82;2,06 %;01/1/13;0,34;0,52;B;16 %;01/1/13;0,42;12,63;01/1/14;0,52;79 %;01/1/13;0,79;0,58;B;15 %;01/1/15;0,29;42,2;01/01/10;0,23;1 %;01/1/10;0,01;0,18;C
200043123;Auray Quiberon Terre Atlantique;2017;0,74;01/2/17;0,49;63 %;01/1/13;0,3;85 %;01/1/13;0,65;0,48;B;0,5;01/1/15;0,5;0,59;01/1/15;0,51;1,45 %;01/1/13;0,31;0,44;C;13 %;01/1/13;0,7;12,19;01/1/14;0,38;65 %;01/1/13;0,65;0,58;B;13 %;01/1/15;0,25;36,6;01/01/10;0,12;0 %;01/1/10;0;0,12;C
200043990;Vallons de Haute-Bretagne Communauté;2017;2;01/2/17;0,4;72 %;01/1/13;0,83;87 %;01/1/13;0,82;0,68;A;0,79;01/1/15;0,79;0,6;01/1/15;0,44;3,22 %;01/1/13;0,38;0,54;B;11 %;01/1/13;0,84;12,07;01/1/14;0,34;34 %;01/1/13;0,34;0,51;B;13 %;01/1/15;0,25;57,9;01/01/10;0,55;3 %;01/1/10;0,03;0,27;B
200065928;Lannion Trégor Communauté;2017;-0,53;01/2/17;0,58;60 %;01/1/13;0,11;84 %;01/1/13;0,58;0,42;C;0,48;01/1/15;0,48;0,57;01/1/15;0,63;-2,78 %;01/1/13;0,14;0,42;C;13 %;01/1/13;0,62;12,77;01/1/14;0,57;85 %;01/1/13;0,85;0,68;A;14 %;01/1/15;0,27;57,6;01/01/10;0,54;3 %;01/1/10;0,03;0,28;B
200066777;Ploërmel Communauté;2017;-0,39;01/2/17;0,57;66 %;01/1/13;0,45;85 %;01/1/13;0,61;0,54;B;0,78;01/1/15;0,78;0,55;01/1/15;0,74;2,11 %;01/1/13;0,34;0,62;B;13 %;01/1/13;0,65;11,4;01/1/14;0,13;66 %;01/1/13;0,66;0,48;B;13 %;01/1/15;0,25;61,9;01/01/10;0,63;28 %;01/1/10;0,28;0,39;A
200066785;De l'Oust à Brocéliande Communauté;2017;1,99;01/2/17;0,4;68 %;01/1/13;0,61;84 %;01/1/13;0,56;0,52;B;0,69;01/1/15;0,69;0,57;01/1/15;0,63;0,87 %;01/1/13;0,29;0,53;B;14 %;01/1/13;0,6;11,32;01/1/14;0,11;66 %;01/1/13;0,66;0,45;B;9 %;01/1/15;0,13;58;01/01/10;0,55;1 %;01/1/10;0,01;0,23;C
200066868;Communauté de communes Presqu'île de Crozon-Aulne maritime;2017;1,09;01/2/17;0,46;63 %;01/1/13;0,29;77 %;01/1/13;0;0,25;C;0,31;01/1/15;0,31;0,57;01/1/15;0,61;-4,48 %;01/1/13;0,07;0,33;C;21 %;01/1/13;0;11,55;01/1/14;0,18;45 %;01/1/13;0,45;0,21;C;16 %;01/1/15;0,32;35,1;01/01/10;0,09;0 %;01/1/10;0;0,14;C
